stamp,brk_pressure_cmd_counter,f_brake_pressure_cmd,r_brake_pressure_cmd
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=412958664)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=422942264)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=432996730)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=443043333)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=453006585)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=462919801)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=472920015)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=483253281)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=492926744)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=503036377)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=513053048)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=523032115)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=532944054)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=542935338)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=553212815)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=563014035)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=572958398)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=583124663)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=593139257)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=602966002)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=613453283)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=623137492)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=633038902)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=646497403)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=652951980)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=663105070)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=673046436)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=683074994)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=692898981)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=703065451)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=712936630)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=723124629)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=733139082)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=742946629)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=753080082)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=763311966)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=772970216)",0,0,0
