stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747826066)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747826066)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747826066)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747826066)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747826066)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=748758074)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=748758074)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=748758074)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=748758074)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747882289)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747882289)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747882289)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747882289)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747882289)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747882289)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=753438876)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=753438876)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=753438876)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=753438876)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748841189)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748841189)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748841189)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748841189)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748841189)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=748766836)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=748766836)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=748766836)",-100.0,-100.0,-100.0,-100.0
