stamp,source_topic,message_data_length
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281378064)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=283215761)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=334752088)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=300040778)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=343907970)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=307967069)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=344598673)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=315103680)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=345212326)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=324047407)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=345789238)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=332098219)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=346342595)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=332845610)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=347644342)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=333382502)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=348492928)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=339193472)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=349232754)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=363972622)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=349891393)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371931614)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=350545098)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381027735)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=359445863)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381452086)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=366460967)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=382101018)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=373292661)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=382651628)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=419473576)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=387957990)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=420492662)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=395772971)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421489898)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=403954212)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=446329347)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=420013248)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=447192322)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431818466)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=448227890)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=432479031)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=448963655)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=435766356)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451089025)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451842371)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=454716102)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=459874593)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=462501942)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=467770134)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=469160174)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=474799188)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=483445438)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=480975792)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=484585822)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=482505682)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=485047786)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491767335)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=494101317)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=498906311)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501353069)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=507022091)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=509362913)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=515883971)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=518163849)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=523806998)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=538712086)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=536458580)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=539349575)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=537960748)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541245878)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=539871952)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=550350408)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=549764942)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=558218289)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=556071181)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=565169650)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=564024883)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=573249053)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=572008903)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=584399670)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=580582949)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=585370187)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581120221)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=585966618)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581492467)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=586569898)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581792734)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=589811689)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=587758488)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=597174960)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=595780565)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=609258750)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=603844429)",/novatel_side/oem7raw,56
