stamp,marelli_track_flag,marelli_vehicle_flag,marelli_sector_flag,marelli_rc_base_sync_check,marelli_rc_lte_rssi
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=442779480)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=454610798)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462778007)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=472803989)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=482818290)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=492797356)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=503093417)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=512820485)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=522787172)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=532768203)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=542758948)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=552755329)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=562759115)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=572781106)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=582878093)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=596982732)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=602786843)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=612801569)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=622820087)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=632808667)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=642763455)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=654877679)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=662794126)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=672785775)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=682894481)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694622630)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=702798430)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=712771989)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=723790023)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=733044358)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=742796890)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=752776607)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=762793285)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=772779393)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=782970113)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=792797290)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=802794496)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=814499798)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=822772015)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=832769958)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=842997804)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=854580559)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=862784272)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=872801315)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=882806949)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=892793653)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=906698029)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=912801148)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=922784015)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=932768928)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=942785897)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=952799509)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=962781138)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=972781719)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=983558786)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=992800048)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=2792554)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=12767990)",1,0,0,True,-41.0
