stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747738263)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747738263)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747738263)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747738263)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747738263)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=747826972)",24.200000000000003,23.900000000000006,22.400000000000006,24.30000000000001
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=747826972)",24.200000000000003,23.900000000000006,22.400000000000006,24.30000000000001
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=747826972)",24.200000000000003,23.900000000000006,22.400000000000006,24.30000000000001
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=747826972)",24.200000000000003,23.900000000000006,22.400000000000006,24.30000000000001
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=747826972)",24.200000000000003,23.900000000000006,22.400000000000006,24.30000000000001
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747768740)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747768740)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747768740)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747768740)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747768740)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747749803)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747749803)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747749803)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747749803)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=747749803)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=747833482)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=747833482)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=747833482)",24.5,23.400000000000006,24.0,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=747833482)",24.5,23.400000000000006,24.0,24.10000000000001
