stamp,engine_oil_temperature,torque_wheels,driver_traction_aim_switch_fbk,driver_traction_range_switch_fbk
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=441843387)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=454471557)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462445956)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=471841617)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=481879920)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=491969355)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=501859843)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=511840418)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=521847847)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=531852308)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=541901152)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=551835358)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=561841997)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=571856860)",29.0,-26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=581928227)",29.0,-26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=591927679)",29.0,-26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=601916650)",29.0,-26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=612294125)",30.0,-26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=622150572)",30.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=631938945)",30.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=642562226)",30.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=654659854)",30.0,35.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=661953195)",30.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=671933449)",30.0,105.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=682642184)",30.0,148.70000000000002,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694506656)",30.0,192.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=701900341)",30.0,253.70000000000002,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=712249062)",29.0,323.70000000000005,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=721887065)",29.0,393.70000000000005,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=732931304)",29.0,446.3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=741873709)",29.0,516.3000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=751864391)",29.0,577.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=761868294)",29.0,638.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=771869530)",29.0,673.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=782831370)",29.0,717.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=791890446)",29.0,752.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=802261548)",29.0,778.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=814389517)",29.0,787.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=821867938)",29.0,805.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=831917941)",29.0,813.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=841886740)",29.0,805.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=854468652)",29.0,857.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=861861550)",29.0,857.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=871894444)",29.0,848.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=882598488)",29.0,892.6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=891865305)",29.0,892.6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=906542083)",29.0,927.6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=911928108)",30.0,927.6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=922426513)",30.0,910.1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=931872070)",30.0,892.6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=942201349)",30.0,875.1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=951869831)",30.0,857.5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=961873596)",30.0,831.3000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=971881312)",30.0,805.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=981898378)",30.0,778.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=991858484)",30.0,761.3000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=1869420)",30.0,752.5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=11874046)",30.0,743.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=21857709)",30.0,735.0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=33025377)",30.0,726.3000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=42109897)",30.0,717.5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=51999610)",30.0,717.5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=61895615)",30.0,717.5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=72095042)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=82880236)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=91880139)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=101940752)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=111902167)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=121861083)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=131900012)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=141884548)",30.0,708.8000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=151946996)",30.0,708.8000000000001,0,0
