stamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641069576)",0.0,0.0,0.0,-0.016994142904877663,-0.0061024329625070095,0.5943397283554077,0.804011344909668
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651073160)",0.0,0.0,0.0,-0.016990546137094498,-0.006094540469348431,0.5943429470062256,0.8040091395378113
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661075208)",0.0,0.0,0.0,-0.016951873898506165,-0.006120402365922928,0.5943452715873718,0.8040080666542053
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671074976)",0.0,0.0,0.0,-0.016973843798041344,-0.006121661048382521,0.5943515300750732,0.8040029406547546
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681074952)",0.0,0.0,0.0,-0.01698373816907406,-0.006110546179115772,0.5943544507026672,0.8040006160736084
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691077536)",0.0,0.0,0.0,-0.01696006767451763,-0.0061074779368937016,0.59434974193573,0.8040046691894531
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=701080072)",0.0,0.0,0.0,-0.016917677596211433,-0.006139365956187248,0.5943490266799927,0.8040058612823486
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711079840)",0.0,0.0,0.0,-0.016915053129196167,-0.006149796303361654,0.5943626165390015,0.8039957880973816
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721079816)",0.0,0.0,0.0,-0.01692604459822178,-0.0061274366453289986,0.5943756103515625,0.8039860725402832
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731083400)",0.0,0.0,0.0,-0.016910186037421227,-0.006131394300609827,0.5943821668624878,0.8039815425872803
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741085448)",0.0,0.0,0.0,-0.016859207302331924,-0.006155787967145443,0.5943883657455444,0.803977906703949
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751086216)",0.0,0.0,0.0,-0.01687314547598362,-0.006171791814267635,0.594404399394989,0.8039655685424805
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=761086192)",0.0,0.0,0.0,-0.016873829066753387,-0.006151553709059954,0.5944117903709412,0.8039602637290955
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771088776)",0.0,0.0,0.0,-0.01684596762061119,-0.006158878095448017,0.5944114327430725,0.8039610385894775
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781090312)",0.0,0.0,0.0,-0.016795966774225235,-0.006190561689436436,0.5944106578826904,0.8039624691009521
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791091080)",0.0,0.0,0.0,-0.016810672357678413,-0.006198836490511894,0.5944195985794067,0.8039554357528687
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=801090312)",0.0,0.0,0.0,-0.01682097464799881,-0.006174800917506218,0.5944244861602783,0.8039517998695374
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811093896)",0.0,0.0,0.0,-0.016806939616799355,-0.0061785816214978695,0.5944235920906067,0.803952693939209
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821094432)",0.0,0.0,0.0,-0.016753951087594032,-0.00620448449626565,0.5944275856018066,0.8039506673812866
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831096200)",0.0,0.0,0.0,-0.016774456948041916,-0.006213512737303972,0.5944437384605408,0.8039381504058838
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841097736)",0.0,0.0,0.0,-0.016772257164120674,-0.006187128368765116,0.594455897808075,0.8039295077323914
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=851097504)",0.0,0.0,0.0,-0.0167564507573843,-0.006192023865878582,0.5944624543190002,0.8039249777793884
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861097736)",0.0,0.0,0.0,-0.01670760102570057,-0.006214718800038099,0.5944666862487793,0.803922712802887
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=871101320)",0.0,0.0,0.0,-0.01671973429620266,-0.006222828291356564,0.5944806933403015,0.8039119839668274
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=881106440)",0.0,0.0,0.0,-0.016720371320843697,-0.00620536133646965,0.5944890379905701,0.8039059638977051
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=891106208)",0.0,0.0,0.0,-0.01669052056968212,-0.006217018701136112,0.5944883227348328,0.803907036781311
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=901104928)",0.0,0.0,0.0,-0.016635514795780182,-0.006245109252631664,0.5944905281066895,0.803906261920929
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911108512)",0.0,0.0,0.0,-0.016639133915305138,-0.006257844623178244,0.5945051312446594,0.8038953542709351
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=921112816)",0.0,0.0,0.0,-0.016642797738313675,-0.00622988399118185,0.5945113301277161,0.8038908839225769
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=931113864)",0.0,0.0,0.0,-0.016611404716968536,-0.0062466333620250225,0.5945154428482056,0.8038882613182068
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=941112840)",0.0,0.0,0.0,-0.01656682789325714,-0.0062591093592345715,0.5945219993591309,0.8038843870162964
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951116424)",0.0,0.0,0.0,-0.016580229625105858,-0.006265930365771055,0.5945402979850769,0.803870439529419
