stamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=250864520)",-0.003433144884184003,-0.008109495975077152,-0.0025061664637178183,-0.002942566992715001,-0.0023876752238720655,-0.010000212118029594
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=260864264)",-0.006135130766779184,-0.007127409800887108,0.00022520581842400134,0.0022673062048852444,0.007637010421603918,-0.005926149897277355
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=270865800)",-0.004796822089701891,-0.009512857533991337,-1.4952664059819654e-05,-0.009239817969501019,-0.0011680014431476593,0.0015461092116311193
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280869104)",-0.0013896161690354347,-0.005210407078266144,-0.0005190720548853278,0.0031321593560278416,-0.00889336783438921,0.0015413740184158087
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=290868872)",-0.001025256235152483,-0.006430782377719879,-0.002329967450350523,0.017079103738069534,0.0013794070109724998,0.0011704651406034827
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=300870176)",-0.0019332605879753828,-0.010657242499291897,-0.0007608589367009699,-0.0018200743943452835,-0.008298628032207489,-0.005070373881608248
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=310871200)",-0.0009565444779582322,-0.005166095681488514,0.0012055736733600497,-0.006279429420828819,-0.008083609864115715,-0.0018490536604076624
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=320871688)",0.0014013804029673338,-0.006974781397730112,0.002668995875865221,-0.008061997592449188,0.0073077320121228695,0.0073499130085110664
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=330875016)",0.006108791567385197,-0.003925182856619358,4.330652882345021e-05,0.0006606093957088888,-0.009133453480899334,0.0039243027567863464
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340877064)",0.0029811502899974585,-0.005924890283495188,-0.0012697018682956696,0.013351449742913246,0.0005920028197579086,0.005893248599022627
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=350880648)",-0.0011073597706854343,-0.009731162339448929,0.001900502946227789,0.00973338633775711,-0.0024805590510368347,-0.0012151215923950076
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=360882440)",0.00095241644885391,-0.007427894975990057,0.0026108238380402327,-0.007537898141890764,-0.008749553933739662,-0.008376829326152802
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=370883208)",0.0006052890093997121,-0.006400411017239094,0.002313449513167143,-0.015062849037349224,0.0034090003464370966,-0.006123465020209551
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=380882184)",0.0005678603774867952,-0.005635638255625963,-0.0006360658444464207,-0.012036904692649841,0.0030791370663791895,-0.004994271323084831
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=390886024)",-0.0003045168414246291,-0.005153334233909845,-0.003908763639628887,0.004549763165414333,-0.008989226073026657,0.0015176173765212297
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=400888072)",-0.0008675497374497354,-0.007809099275618792,-0.0013605954591184855,0.006946620997041464,0.008298181928694248,0.005874554626643658
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=410888840)",0.003972943872213364,-0.005647963844239712,-0.00034975717426277697,-0.004936901852488518,-0.008747507818043232,0.00416285265237093
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=420888072)",0.004076534416526556,-0.004106291104108095,0.00028324173763394356,-0.008922469802200794,0.0016733737429603934,0.005807844921946526
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=430891656)",0.004570929333567619,-0.004305030219256878,-0.0020252387039363384,-0.010060780681669712,-0.0018540360033512115,0.004186944104731083
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=440892448)",0.0024054732639342546,-0.004242759197950363,-0.0033133288379758596,0.0046103824861347675,-0.0025332875084131956,0.007255354430526495
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=450894472)",-0.00026356600574217737,-0.007886244915425777,-0.0014495537616312504,0.0054917349480092525,0.0014585230965167284,0.0060562873259186745
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=460893448)",0.003182966262102127,-0.007353973109275103,0.0005116513930261135,-0.009360750205814838,-0.007685729768127203,0.000551838253159076
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=470897288)",0.0038270470686256886,-0.005552264861762524,-9.393949585501105e-05,-0.01221861969679594,0.002460980089381337,-0.001543841208331287
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=480898336)",0.0031426369678229094,-0.006861151661723852,-0.0010514231398701668,-0.010402957908809185,0.006082839798182249,-0.004694141447544098
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=490899360)",0.001608105143532157,-0.006704853381961584,-0.002079766010865569,-0.0012694395845755935,-0.0003408607735764235,-0.0036822461988776922
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=500898336)",-0.0018495594849810004,-0.008530763909220695,0.000569681404158473,0.005810119211673737,0.005375468172132969,0.0026974971406161785
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=510903688)",0.0017396101029589772,-0.0075093782506883144,0.0012252184096723795,-0.005207316018640995,-0.0017251663375645876,0.004569169133901596
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=520905736)",0.004930894821882248,-0.006209048442542553,0.00017739523900672793,0.0022963955998420715,-0.002844438422471285,0.004658398684114218
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=530906248)",0.004413153976202011,-0.007204387802630663,-0.00109980592969805,0.0026666640769690275,0.007838316261768341,0.003338099457323551
