stamp,frame_id,child_frame_id,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=409953560)",world,ego_car,122.98637063256386,142.02476166107232,0.0,-0.0,0.0,0.9295450574927397,-0.36870853813116283
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=420462467)",world,ego_car,122.98634910568586,142.0247304317325,0.0,-0.0,0.0,0.9295423231614468,-0.3687154315344292
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=430024373)",world,ego_car,122.98639119009036,142.02446685211612,0.0,-0.0,0.0,0.9295418258178868,-0.36871668534953683
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=440287451)",world,ego_car,122.9863336617865,142.02452102576726,0.0,-0.0,0.0,0.9295393270112965,-0.3687229848265309
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=449858723)",world,ego_car,122.98638219350427,142.02413276213875,0.0,-0.0,0.0,0.929538837688861,-0.3687242183909834
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=460094544)",world,ego_car,122.98636262978226,142.02409600869925,0.0,-0.0,0.0,0.929535690426211,-0.368732152414008
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=470320054)",world,ego_car,122.98634337465077,142.02405973461336,0.0,-0.0,0.0,0.9295339103011231,-0.3687366398939818
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=482868938)",world,ego_car,122.98631429115582,142.0240107308863,0.0,-0.0,0.0,0.9295339424174245,-0.3687365589332312
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=490017362)",world,ego_car,122.98617652265516,142.023852890869,0.0,-0.0,0.0,0.9295377552751096,-0.36872694710057535
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=500349365)",world,ego_car,122.9861565535423,142.02381587549291,0.0,-0.0,0.0,0.9295374266640906,-0.3687277755074885
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=510403177)",world,ego_car,122.98641960293102,142.02378218852456,0.0,-0.0,0.0,0.9295437848621605,-0.36871174652312044
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=520190421)",world,ego_car,122.98640241783538,142.02374452852106,0.0,-0.0,0.0,0.9295428285277992,-0.3687141574886144
