stamp,latitude,longitude,altitude,status,service,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_9,position_covariance_type
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=720930824)",36.58774181413405,-121.75527250703978,199.31720986372056,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=740932872)",36.58774181353137,-121.75527250734636,199.31722255518525,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=760938248)",36.58774181314684,-121.75527250786624,199.31726931450976,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=790947464)",36.58774181253683,-121.75527250867296,199.31729820256805,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=810949280)",36.58774181170108,-121.75527250847661,199.3173502160771,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=840954888)",36.58774181122473,-121.7552725091203,199.31736760865897,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=880959496)",36.58774181083378,-121.75527251017384,199.31741816783324,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=900963872)",36.587741810522154,-121.75527251046637,199.31733475727378,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=910965384)",36.587741775866924,-121.75527253586925,199.31772208350594,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=950970248)",36.5877417748005,-121.75527253669458,199.31781586100806,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=960968968)",36.58774177473711,-121.7552725369443,199.31785321082543,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=980975112)",36.58774177448482,-121.75527253736189,199.31791361260548,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=975112)",36.587741774495385,-121.75527253755864,199.3179474155122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=50984072)",36.587741773424185,-121.75527253768956,199.31805654858545,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=70987632)",36.58774177353603,-121.75527253743863,199.31809867036463,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
